"category","description","discountPrice","imageUrl","name","price","status","stockQuantity"
"Fruits & Vegetables","Fresh red apples rich in fiber","165","/uploads/taskomart-products/apple.avif","Apple","180","Available","120"
"Staples & Grains","Whole wheat flour for daily chapati","349","/uploads/taskomart-products/aschivaad%20atta.avif","Aashirvaad Atta","365","Available","90"
"Fruits & Vegetables","Farm fresh button mushrooms","55","/uploads/taskomart-products/button%20mushroom.avif","Button Mushroom","60","Available","80"
"Fruits & Vegetables","Crunchy fresh carrots","39","/uploads/taskomart-products/carrot.avif","Carrot","45","Available","140"
"Snacks & Beverages","Chilled Coca Cola can","36","/uploads/taskomart-products/coca%20cola%20coke%20can.avif","Coca Cola Can","40","Available","160"
"Fruits & Vegetables","Fresh coriander leaves bunch","12","/uploads/taskomart-products/coriander%20leaves.avif","Coriander Leaves","15","Available","100"
"Fruits & Vegetables","Aromatic curry leaves","10","/uploads/taskomart-products/curry%20leaves.avif","Curry Leaves","12","Available","90"
"Spices & Condiments","Traditional cut mango pickle","145","/uploads/taskomart-products/cut%20mango%20pickle.avif","Cut Mango Pickle","160","Available","70"
"Dairy & Bakery","Farm fresh eggs pack","69","/uploads/taskomart-products/egg.avif","Eggs","75","Available","110"
"Spices & Condiments","Spicy garlic pickle","159","/uploads/taskomart-products/garlic%20pickle.avif","Garlic Pickle","175","Available","65"
"Fruits & Vegetables","Fresh ginger root","62","/uploads/taskomart-products/ginger.avif","Ginger","70","Available","95"
"Staples & Grains","Premium groundnut kernels","99","/uploads/taskomart-products/groundnut.avif","Groundnut","110","Available","100"
"Spices & Condiments","Idly chili podi powder","85","/uploads/taskomart-products/idly%20chili%20powder.avif","Idly Chili Powder","95","Available","85"
"Staples & Grains","Natural jaggery powder","62","/uploads/taskomart-products/jaggery%20power.avif","Jaggery Powder","70","Available","75"
"Spices & Condiments","Kulambu chilli masala mix","115","/uploads/taskomart-products/kulambu%20chilli%20masala%20powder.avif","Kulambu Chilli Masala Powder","130","Available","80"
"Fruits & Vegetables","Fresh mint leaves bunch","14","/uploads/taskomart-products/mint%20leaves.avif","Mint Leaves","18","Available","90"
"Staples & Grains","Refined cooking oil pouch","149","/uploads/taskomart-products/mr%20gold%20refined%20oil.avif","Mr Gold Refined Oil","160","Available","85"
"Personal Care","Mysore sandal bathing soap","39","/uploads/taskomart-products/Mysore%20sandal%20soap.avif","Mysore Sandal Soap","45","Available","130"
"Fruits & Vegetables","Juicy fresh oranges","98","/uploads/taskomart-products/orange.avif","Orange","110","Available","125"
"Fruits & Vegetables","Fresh pomegranate fruit","145","/uploads/taskomart-products/pomegrante.avif","Pomegranate","160","Available","95"
"Fruits & Vegetables","Fresh potato pack","30","/uploads/taskomart-products/potato.avif","Potato","35","Available","200"
"Staples & Grains","Refined crystal sugar","48","/uploads/taskomart-products/sugar.avif","Sugar","52","Available","140"
"Staples & Grains","Iodized Tata salt","26","/uploads/taskomart-products/tata_salt.avif","Tata Salt","30","Available","180"
"Snacks & Beverages","Thums Up soft drink can","36","/uploads/taskomart-products/Thums%20up%20soft%20drink.avif","Thums Up Soft Drink","40","Available","160"
"Fruits & Vegetables","Farm fresh tomatoes","34","/uploads/taskomart-products/Tomato.avif","Tomato","40","Available","170"
"Staples & Grains","Quality toor dal","149","/uploads/taskomart-products/toor%20dal.avif","Toor Dal","165","Available","110"
"Household","Vim dishwashing bar","26","/uploads/taskomart-products/vim%20dishwashing%20bar.avif","Vim Dishwashing Bar","30","Available","150"
